Judul,Waktu,Link,Content,tag1,tag2,tag3,tag4,tag5,source
"Antisipasi Hujan, Pemkot Bandung Siapkan 736 Sekolah Dijadikan TPS",2/14/2024,https://nasional.tempo.co/read/1833243/antisipasi-hujan-pemkot-bandung-siapkan-736-sekolah-dijadikan-tps,"TEMPO.CO, Jakarta - Pemerintah Kota Bandung menyiapkan sebanyak 736 bangunan sekolah dijadikan tempat pemungutan suara (TPS) untuk mengantisipasi potensi hujan deras saat hari pencoblosan. ""Total seluruh sekolah SD dan SMP yang fasilitasnya digunakan ada 257 sekolah. Dan ada 736 sekolah yang dijadikan TPS,""  kata Kepala Dinas Pendidikan Kota Bandung, Hikmat Ginanjar di Bandung, Selasa, 13 Februari 2024. Tim Kampanye Donald Trump Cari Cara Menangkan Suara dari Kalangan Kulit Hitam  Hikmat meminta kepada aparat kewilayahan dan ketua kelompok penyelenggara pemungutan suara (KPPS) bisa tepat waktu dalam menggunakan fasilitas sekolah. Sebab, kata dia, penghitungan suara biasanya berlangsung lama dan berjenjang. Sedangkan besok harinya sekolah sudah kembali digunakan oleh para siswa. ""Biasanya paling malam itu bisa sampai pukul 02.00 WIB. Namun, kami mengingatkan, karena esok harinya harus digunakan anak-anak untuk bersekolah. Mohon bisa selesai tepat waktu,"" kata dia. Ia menambahkan, jika ternyata proses pemilu berjalan di luar waktu yang telah ditentukan, maka kegiatan belajar mengajar akan tetap berjalan. Namun, dengan beberapa penyesuaian. Airnya Menyusut Selama Kemarau, Dasar Sungai Cidurian Dipakai Warga Bandung Tanding Sepak Bola  ""Tapi kami tetap mohon kalau bisa selesai tepat waktu dan bisa dirapikan kembali semua sarana prasarananya,"" katanya. Sementara itu, Penjabat Wali Kota Bandung Bambang Tirtoyuliono menyampaikan terdapat beberapa TPS yang berada di wilayah potensi titik banjir, sehingga perlu diupayakan mencari TPS cadangan jika sewaktu-waktu terjadi banjir. ""Kita masifkan monitoring di wilayah masing-masing. Jika ada potensi bencana terutama banjir, segera lakukan langkah-langkah antisipasinya. Kami sudah menugaskan Disdik untuk menjadikan sekolah sebagai TPS cadangan,” kata Bambang. ",TPS,Tempat Pemungutan Suara,Pilpres 2024,Pemilu 2024,Kota Bandung,tempo
Heboh Arab Saudi Akan Bangun Bioskop Dekat Ka'bah,"Kamis, 29 Agu 2024 10:42 WIB",https://news.detik.com/internasional/d-7514260/heboh-arab-saudi-akan-bangun-bioskop-dekat-kabah,"Sebuah video yang menampilkan seorang insinyur Arab Saudi yang membahas pembangunan proyek hiburan besar di Mekkah, telah memicu perdebatan luas di media sosial. Publik mendebat tentang kelayakan pembangunan semacam itu di dekat Ka'bah dan Masjidil Haram, tempat paling suci umat Islam.Dilansir New Arab, Kamis (29/8/2024), bioskop tersebut merupakan komponen utama dari inisiatif ""Smart Mecca"", yang menurut informasi publik, bertujuan untuk mengintegrasikan fasilitas hiburan modern ke dalam kota sambil tetap berpegang pada makna keagamaannya. Proyek tersebut sedang dikembangkan oleh Saudi Entertainment Ventures (Seven), anak perusahaan dari Dana Investasi Publik, yang telah menjadi garda terdepan dalam upaya perluasan hiburan di Arab Saudi.Pada tahun 2023, Seven memberikan kontrak senilai US$2,5 miliar untuk berbagai proyek hiburan di seluruh Kerajaan Saudi. Proyek bioskop Mekkah, yang bernilai SR1,3 miliar (US$347 juta), sedang dibangun oleh perusahaan lokal Modern Building Leaders (MBL). Terletak di distrik Al Abidiyah, dekat Universitas Umm Al Qura di luar kompleks masjid Kakbah Suci, proyek tersebut mencakup area seluas 80.000 meter persegi.Pembangunan bioskop di Arab Saudi menandai perubahan budaya yang signifikan. Selama 40 tahun, bioskop dilarang di Kerajaan tersebut, yang mencerminkan norma sosial konservatif yang berlaku di negara tersebut. Larangan tersebut dicabut pada tahun 2018 sebagai bagian dari inisiatif Visi 2030 Putra Mahkota Mohammed bin Salman, yang berupaya memodernisasi ekonomi dan membuka masyarakat Saudi.Sejak pencabutan larangan tersebut, Arab Saudi telah memperluas infrastruktur bioskopnya dengan cepat, dengan banyak bioskop dibuka di seluruh Kerajaan.Simak juga Video 'Seruan Imam Masjidil Haram ke Jemaah Haji untuk Doakan Warga Palestina': [Gambas:Video 20detik] ",arab saudi,mekkah,putra mahkota arab saudi,ka'bah,nan,detik
Pansus Haji DPR Batal Gelar Rapat pada Masa Reses,29/07/2024,https://nasional.kompas.com/read/2024/07/29/13592631/pansus-haji-dpr-batal-gelar-rapat-pada-masa-reses," JAKARTA, KOMPAS.com - Panitia Khusus (Pansus) Haji DPR batal menggelar rapat pada masa reses DPR. Wakil Ketua DPR Sufmi Dasco Ahmad menyebutkan, rapat Pansus Haji akan digelar setelah DPR memasuki masa sidang yang akan datang. ""Pansus haji itu kan memang pada waktu rapim (rapat pimpinan) dan Bamus (Badan Musyawarah), kita sudah putuskan akan jalan di masa sidang akan datang,"" kata Dasco di Kompleks Parlemen, Jakarta, Senin (29/7/2024). Politikus Partai Gerindra itu menuturkan, sedianya rapat Pansus Haji akan dilaksanakan pada masa sidang kemarin. Namun, DPR sudah memasuki masa reses sehingga rapat pun tak bisa digelar. Dasco pun tidak memungkiri bahwa ada pihak-pihak yang mengingatkan aturan soal rapat bersifat pansus harus digelar di masa sidang. ""Sehingga kalau kemarin (masa reses) ini, menyalahi aturan,"" ujar dia. Sebelumnya, DPR mengagendakan Pansus Haji menggelar rapat selama masa reses. Pansus Haji pun sudah menjadwalkan rapat perdana pada Rabu (17/7/2024) tetapi batal dan tak kunjung digelar. Adapun DPR tengah berada dalam masa reses hingga 15 Agustus 2024 mendatang.",DPR,Sufmi Dasco Ahmad,Haji,Pansus Haji DPR,nan,kompas
Cerita di Balik Penamaan Barracuda untuk Rantis Brimob,"Selasa, 06 Agu 2024 13:37 WIB",https://news.detik.com/berita/d-7475953/cerita-di-balik-penamaan-barracuda-untuk-rantis-brimob,"Setelah berkali-kali menunaikan operasi pemulihan keamanan di Timor Timur, Singkawang-Sambas, Kalimantan Barat, dan Aceh, Firdaus Wulanto bertugas sebagai perwira staf logistik. Pada Desember 2004, Komandan Korps Brimob Irjen Sulvanus Yulian Wenas menugaskannya untuk mengurusi pengadaan kendaraan taktis (rantis) yang baru dari Korea Selatan.Kendaraan lapis baja atau armoured personnel carrier (APC) berkapasitas 12 orang itu menjadi andalan Brimob hingga sekarang. Bentuknya seperti kotak dengan moncongnya yang lancip, dilengkapi senapan mesin berat, sedang, dan pelindung bagi juru tembak.Selain mampu menahan terjangan proyektil, APC ini menjamin penumpang dan awaknya aman dari pecahan granat. Mesinnya buatan Mercedes-Benz, Jerman.Sebagai orang yang ditugasi untuk membeli, Firdaus Wulanto-lah yang melakukan uji coba keandalan mesin, persenjataan, hingga implementasi perawatan. ""Itu tidak ada di Akpol pelajarannya. Gue dapat secara autodidak dan kebetulan gue suka otomotif,"" kata perwira kelahiran Cengkareng, Jakarta Barat, pada 21 Maret 1976 itu, seperti tertuang dalam buku 'Tour of Duty Brimob 1997'.Buku setebal 600 halaman itu ditulis oleh Hendi Jo dan Martin Sitompul dan diterbitkan Matapadi Pressindo. Selain Firdaus, buku ini mengisahkan lika-liku pengabdian 37 alumnus Akademi Kepolisian (Akpol) 1997. Mereka bagian dari 285 lulusan Akpol terakhir yang dilantik langsung oleh Presiden Soeharto di halaman Istana Merdeka pada 18 Desember 1997.Dalam buku ini juga terungkap bahwa beberapa dari mereka yang berkarier di Brimob sebagian memang anak tentara, atau bercita-cita menjadi tentara (Angkatan Darat). Kalaupun masuk kepolisian, biasanya yang diincar adalah reserse, bukan Brimob. Namun mereka yang kemudian terpaksa menjadi anggota Brimob itu ternyata mampu menjalaninya dengan penuh tanggung jawab. Mereka rata-rata pernah terlibat dalam operasi di Timor Timur, Aceh, Papua, Ambon, dan Poso dengan torehan prestasi tersendiri.Bahkan ada juga beberapa di antaranya yang bertugas sebagai penjaga perdamaian di negara-negara yang berkonflik, seperti Kombes FX Arendra Wahyudi (Darfur, Sudan), Kombes Hendrik Budhi Prasetyo (Afrika Tengah), Kombes M Fachry, dan Kombes Budhi Wardiman, yang kini bertugas sebagai agen BIN di Ankara, Turki.Firdaus Wulanto, yang kini berpangkat komisaris besar, sebetulnya termasuk yang tak bercita-cita menjadi polisi. Bahkan dia cenderung membencinya karena di saat remaja kerap berurusan dengan polisi akibat ulahnya yang kerap tawuran dan gemar balapan di jalan raya.""Kualat gue. Makanya kalau membenci sesuatu itu jangan berlebihan,"" ujarnya mengenang.Kembali ke soal APC, Firdaus-lah yang mengusulkan agar menamai rantis tersebut Barracuda. Nama itu terinspirasi dari jenis ikan barakuda yang mampu hidup di kedalaman 500-800 meter di bawah permukaan laut.""Ini hewan yang bisa hidup bertahan lama tanpa ada sinar matahari. Dia kuat,"" jelasnya.Lihat juga Video 'TNI dan Brimob Bentrok di Sorong, Pangkoarmada III-Kapolda Tindak Personel Terlibat': [Gambas:Video 20detik]",barracuda,brimob,nan,nan,nan,detik
Gempa M 6 Guncang Pegunungan Bintang Papua,"Minggu, 05 Mei  2024 23:40 WIB",https://news.detik.com/berita/d-7326326/gempa-m-6-guncang-pegunungan-bintang-papua,"Gempa bumi dengan magnitudo (M) 6,0 mengguncang Pegunungan Bintang, Papua Pegunungan. Gempa ada pada kedalaman 136 kilometer. ""Gempa Mag: 6.0, 796 km Tenggara PEG-BINTANG-PAPUA,"" tulis BMKG dalam akun X-nya, Minggu (5/5/2024). Gempa terjadi pada pukul 22.40 WIB. Gempa ada pada titik koordinat 5,63 derajat Lintang Selatan dan 147,60 derajat Bujur Timur.   ""Disclaimer: Informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data,"" jelasnya.",gempa,bmkg,papua,nan,nan,detik
Kata KPU soal Keberatan Demokrat dan PPP dalam Hasil Rekapitulasi PSU Banten II,7/29/2024,https://nasional.tempo.co/read/1896938/kata-kpu-soal-keberatan-demokrat-dan-ppp-dalam-hasil-rekapitulasi-psu-banten-ii,"TEMPO.CO, Jakarta - Ketua Komisi Pemilihan Umum (KPU) Mochammad Afifuddin mengatakan pihaknya siap menghadapi ketidakpuasan dan keberatan yang diajukan oleh saksi-saksi penggugat yakni Demokrat dan Partai Persatuan Pembangunan (PPP). Diketahui, kedua partai tersebut menolak hasil rekapitulasi daerah pemilihan (dapil) Banten II dalam rapat pleno nasional rekapitulasi hasil penghitungan suara ulang Pemilu Legislatif (Pileg) DPR 2024, yang diadakan oleh KPU. Rekapitulasi pemilihan suara ulang tersebut menindaklanjuti putusan Mahkamah Konstitusi (MK) yang mengabulkan 44 dari 297 gugatan sengketa Pileg 2024. Muncul Gerakan Coblos Semua Paslon di Pilkada 2024, Pengamat Ungkap Penyebabnya Adapun di dalam rapat pleno tersebut, Demokrat menyatakan keberatan dengan hasil tersebut. Selain Demokrat, PPP juga juga menyatakan menolak hasil rekapitulasi tersebut. Menanggapi hal ini, Afifuddin mengatakan pihaknya akan menghadapi hal ini dan akan melakukan komunikasi dengan pihak terkait.  ""Semua upaya ketidakpuasan dan lain-lain tentu harus kita hadapi, tentu kita komunikasikan, ya intinya kami bersiap untuk semuanya,"" ucap Afiffudin saat ditemui di gedung KPU RI usai rapat pleno, Ahad 28 Juli 2024. Afifuddin mengatakan, pihaknya menerima dan menghargai semua bentuk ketidakpuasan dan penolakan terhadap hasil rekapitulasi nasional yang diadakan tersebut. Menurut dia, dalam setiap rekapitulasi disetiap jenjang memiliki penolakan. Komisi II DPR Bahas Tiga Opsi Soal Kotak Kosong dalam Rapat dengan KPU, Apa Saja? ""Dalam setiap rekapitulasi di setiap jenjang potensi itu ada, di provinsi juga ada, kabupaten-kota juga ada, termasuk di tingkat nasional tadi juga ada. Ya kami terima, kami hargai itu sebagai catatan dari proses plano,"" ucap Afifuddin Sebelumnya, Demokrat dan PPP menyatakan keberatan usai pembacaan hasil rekapitulasi Dapil Banten II. Berdasarkan hasil yang dibacakan oleh KPU, di urutan pertama terdapat Partai Amanat Nasional (PAN) yang mendapatkan 244.974 suara. Jumlah ini adalah gabungan suara partai dan calon anggota legislatif (caleg) yang diusung. Di urutan kedua disusul oleh Partai NasDem dengan perolehan 208.801 suara. Sedangkan posisi ketiga ditempati oleh Gerinda yang mendapat 197.424 suara. Selanjutnya terdapat partai Golkar dengan perolehan 174.570 suara, PKS mendapat 165.424 suara, dan PDI Perjuangan mendapat 142.154 suara. Partai Demokrat memperoleh 142.129 suara.  ",KPU,Demokrat,PPP,Rekapitulasi,Banten,tempo
KPK Jawab Makelar MA soal Diminta USD 6 Juta: Trik Ingin Lepas Jerat Hukum,"Jumat, 23 Feb 2024 22:28 WIB",https://news.detik.com/berita/d-7209037/kpk-jawab-makelar-ma-soal-diminta-usd-6-juta-trik-ingin-lepas-jerat-hukum,"Terdakwa kasus suap di Mahkamah Agung (MA), Dadan Tri Yudianto, mengaku diminta oleh oknum sebesar USD 6 juta agar tidak menjadi tersangka di KPK. KPK menegaskan oknum yang dimaksud Dadan bukan berasal dari lembaganya. ""Di pleidoi ini tidak ada menyebut oknum KPK, tidak ada,"" kata Kabag Pemberitaan KPK Ali Fikri di gedung Merah Putih KPK, Jakarta Selatan, Jumat (23/2/2024). Ali menyayangkan sikap Dadan yang melemparkan isu tanpa bukti. Dia menjelaskan, KPK siap menerima jika Dadan melaporkan dugaan pemerasan yang menimpanya.   ""Tapi sekali ini informasi penting bagi kami. Oleh sebab itu, kami sampaikan silakan lapor kepada penegak hukum dan kepada KPK. Kami juga siap kalau benar terdakwa ini memiliki data awal. Jangan kemudian membangun opini demi membela diri tapi tidak ada satu bukti,"" ucap Ali. Meski menghormati hak terdakwa menyampaikan nota pembelaan dalam sidang, Ali menilai pleidoi Dadan soal pengakuan diminta USD 6 juta oleh oknum hanya sebatas trik untuk lepas dari jeratan hukum. ""Jelas itu semua hanya trik terdakwa ingin lepas dari jeratan hukum namun disayangkan bukan pembelaan hukum yang disampaikan di hadapan hakim, namun hanya dengan menggiring opini negatif tentang KPK semata,"" ucap Ali. KPK juga menjawab pengakuan Dadan yang mengaku dihalangi untuk datang bersaksi di sidang. Ali membantah pengakuan dari Dadan tersebut. ""Saya kan juga pengalaman jaksa juga. Ketika proses persidangan kami di tim, saya juga kebetulan pernah menjadi kepala satuan tugas itu ada yang disebut dengan admin penuntutan, admin penyelidikan, admin penyidikan. Nah, mereka salah satu tugasnya memberikan informasi secara resmi dan itu terbuka kepada para pihak dan itu sudah disepakati sebelumnya sepanjang berkenaan kelancaran persidangan,"" ujar Ali. Simak selengkapnya di halaman berikutnya. ",kpk,dadan tri yudianto,nan,nan,nan,detik
"Jembatan Ambruk, Jalan Saketi-Labuan Pandeglang Tak Bisa Dilalui Kendaraan","Minggu, 04 Agu 2024 11:13 WIB",https://news.detik.com/berita/d-7472576/jembatan-ambruk-jalan-saketi-labuan-pandeglang-tak-bisa-dilalui-kendaraan,"Jembatan di Desa Pasir Eurih, Kecamatan Cisata, Kabupaten Pandeglang, ambruk. Akibatnya, ruas jalan Saketi-Labuan tidak bisa dilalui.""Iya ambruk (jembatan),"" kata warga setempat bernama Dede kepada wartawan, Minggu (4/8/2024).Dede mengatakan jembatan itu ambruk pada malam tadi, sekitar pukul 22.30 WIB. Ia menyatakan jembatan tersebut ambruk karena kondisi sudah tak kuat menahan beban.""Kebetulan dua hari terakhir hujan lebat, ditambah konstruksi yang terdahulu sudah tidak kuat menahan beban kendaraan,"" katanya.Akibat kejadian tersebut, ruas jalan Saketi-Labuan dan sebaliknya tidak bisa dilalui kendaraan, baik roda dua maupun roda empat. Menurutnya, para pengendara harus mengambil jalur lain.Pengendara yang hendak melintas jalan tersebut diimbau agar mengambil jalur Mengger-Caringin.""Putus total, tapi sedang diupayakan perbaikan sementara,"" pungkasnya.Simak Video: Terpopuler Sepekan: Pemimpin Hamas Tewas hingga Penyiksaan di Daycare[Gambas:Video 20detik]",pandeglang,banten,nan,nan,nan,detik
Alasan Pakar Sebut Ridwan Kamil dan Azwar Anas Bisa Dipertimbangkan Jadi Kepala Otorita IKN,6/4/2024,https://nasional.tempo.co/read/1875723/alasan-pakar-sebut-ridwan-kamil-dan-azwar-anas-bisa-dipertimbangkan-jadi-kepala-otorita-ikn,"TEMPO.CO, Jakarta - Presiden Joko Widodo alias Jokowi menugaskan Menteri Pekerjaan Umum dan Perumahan Rakyat (PUPR) Basuki Hadimuljono sebagai pelaksana tugas kepala Otorita IKN pada Senin, 3 Juni 2024. Basuki menggantikan kepala sebelumnya, Bambang Susantono, yang mengundurkan diri.  Jokowi menunjuk Basuki untuk mempercepat realisasi program pembangunan Ibu Kota Nusantara (IKN) melalui penyelesaian persoalan status tanah hingga pembentukan pemerintah daerah khusus IKN. Basuki mengatakan dia akan bertugas sampai ditunjuknya kepala Otorita IKN definitif. Mengenai kepala Otorita IKN berikutnya, Guru Besar Ilmu Pemerintahan Universitas Diponegoro Semarang, Budi Setiyono, berpendapat dia harus orang yang mempunyai pengalaman lintas sektoral. Budi juga menyebutkan pengganti Bambang Susantono harus figur yang mengetahui visi atau keinginan Presiden Jokowi maupun presiden terpilih Prabowo Subianto. “Kepala Otorita IKN juga harus memiliki kemampuan urban design (perencanaan kota), juga mengerti masalah politik, hukum, pertanahan, dan juga budaya. Dia juga orang yang dipercaya oleh Jokowi sekaligus Prabowo, serta diberi kewenangan besar oleh presiden,” katanya saat dihubungi pada Senin, 3 Juni 2024. Namun dia mengatakan tidak mudah mencari pengganti kepala Otorita IKN dalam situasi transisi pemerintahan seperti saat ini. Terlebih, kata dia, tenggat waktu yang tersedia sangat ketat untuk perpindahan ibu kota dalam skala yang masif. “Mungkin sosok seperti mantan Gubernur Jawa Barat Ridwan Kamil atau Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (PANRB) Abdullah Azwar Anas bisa dipertimbangkan,” ujarnya. Budi menjelaskan latar belakang pendidikan Ridwan Kamil di bidang arsitektur dan tata kota, serta pengalaman menjabat sebagai kepala daerah dapat menjadi modal menangani persoalan lintas sektoral. Sedangkan Anas adalah sosok yang sukses mengawal reformasi birokrasi saat menjadi kepala daerah, dan mengerti manajemen ASN yang diperlukan dalam proses perpindahan pegawai ke IKN. Dia menilai penunjukan kepala Otorita IKN yang baru harus segera dilakukan. Menurut dia, Pelaksana Tugas (Plt.) Kepala Otorita IKN Basuki Hadimuljono akan sibuk dengan tugasnya yang lain, yakni sebagai Menteri Pekerjaan Umum dan Perumahan Rakyat. Selanjutnya, Basuki Hadimuljono menilai kepercayaan investor tidak berkurang... ",IKN,Basuki Hadimuljono,Otorita IKN,Bambang Susantono,Dhony Rahajoe,tempo
Pengamat Nilai Politik yang Demokratis Sulit Diwujudkan di Pemilu 2024,1/5/2024,https://nasional.tempo.co/read/1817368/pengamat-nilai-politik-yang-demokratis-sulit-diwujudkan-di-pemilu-2024,"TEMPO.CO, Jakarta - Pengamat militer Al Araf menilai praktik politik demokratis hampir sulit diwujudkan selama penyelenggaraan Pemilu 2024 karena banyaknya peristiwa yang berlawanan dengan aturan di Tanah Air. ""Menurut saya, politik pemilu demokratis sudah hampir sulit diraih dalam Pemilu 2024 karena ada instrumen kekuasaan yang akan menggunakan instrumen lain dalam pertarungan,"" kata Al Araf dalam diskusi publik di Jakarta, Kamis 4 Januari 2024. Pendukung Gibran akan Somasi Rocky Gerung soal Ucapan Menteri Kasih Uang Tiap Sabtu Dia menyoroti terdapat banyak kejadian yang sebenarnya melanggar hukum, tetapi tidak dituntaskan dengan baik oleh Pemerintah. Pertama ialah kehadiran ajudan Prabowo Subianto, Mayor Teddy Indra Wijaya, yang merupakan anggota aktif TNI, dalam debat pertama capres Pemilu 2024 di KPU RI, Jakarta, Selasa, 12 Desember 2023. Menurut dia, kasus kehadiran ajudan Prabowo itu tidak rasional dan melanggar peraturan karena. Jika dilihat dari undang-undang mana pun, kata Al Araf, kehadiran Teddy tetap terbukti melanggar aturan TNI dan Polri yang tidak boleh terlibat dalam politik praktis. Kalau dia menemani Prabowo di agenda lain sebagai ajudan, tidak masalah; tetapi ini lagi debat kandidat (Pilpres 2024). Di situ, semua orang menonton, pengamanan pemilu dari KPU dalam debat juga sudah banyak sekali, mulai dari polisi, dilapisi lagi pengamanan di dalam; memang kurang apa sampai ajudannya juga di sana?"" katanya. Ekonom Minta Prabowo Hati-hati Soal Tambahan Anggaran Kementerian Masalah kedua yakni soal Gibran Rakabuming Raka, putra sulung Presiden Joko Widodo, maju menjadi pendamping Prabowo. Dia menyoroti majunya Gibran, yang juga wali kota Surakarta, benar-benar ""menelanjangi"" Mahkamah Konstitusi (MK) secara terang-terangan karena membuat sebuah putusan jelas cacat hukum. Masalah ketiga ialah soal peristiwa penganiayaan oknum TNI Angkatan Darat kepada relawan Ganjar-Mahfud saat kampanye di Kabupaten Boyolali, Jawa Tengah, beberapa waktu lalu. Araf menduga ada dugaan kekerasan politik di dalamnya dibandingkan sekadar mempermasalahkan soal knalpot bising atau brong saja. ""Sekarang ini, yang harus didorong adalah Komnas HAM-nya, jangan diam saja, tidak tahu. Jangan ketularan Bawaslu (Badan Pengawas Pemilu) yang menurut saya sulit untuk bisa diharapkan mengawasi pemilu,"" kata ketua Badan Pengurus Centra Initiative itu. Sementara itu, pengamat soal pertahanan, militer, dan intelijen Connie Rahakundini Bakrie menambahkan kemunculan Gibran Rakabuming Raka sebagai cawapres juga ""mempermalukan"" institusi MK. Hal itu karena aturan yang disahkan melalui Putusan MK Nomor 90/PUU-XXI/2023 menyatakan batas usia minimal capres dan cawapres paling rendah 40 tahun atau pernah atau sedang menduduki jabatan yang dipilih melalui pemilihan umum, termasuk pemilihan kepala daerah. Connie menilai putusan MK itu problematik dan tidak netral, karena jelas ada kepentingan pihak tertentu di situ. Terkait masalah Mayor Teddy di debat capres-cawapres, Connie menyayangkan panglima TNI dan Bawaslu sama-sama enggan mengakui bahwa duduknya ajudan Prabowo itu di deretan pendukung capres nomor urut dua tersebut sudah jelas melanggar hukum karena dari cara berpakaiannya sama dengan relawan. ""Saya yakin betul bahwa yuristokrasi itu berbahaya. Karena itulah, memang presiden, sekali lagi saya sarankan, presiden cuti saja atau Mas Gibran dibatalkan jadi cawapres kan masih ada waktu sekitar 42 hari lagi,"" ujar Connie. ",Pemilu 2024,Demokratis,Prabowo,Gibran,Ganjar-Mahfud,tempo
Hari Ini KPK Periksa Sekjen PDIP Hasto Kristiyanto,6/10/2024,https://nasional.tempo.co/read/1877973/hari-ini-kpk-periksa-sekjen-pdip-hasto-kristiyanto,"TEMPO.CO, Jakarta - Komisi Pemberantasan Korupsi (KPK) dijadwalkan akan memeriksa Sekretaris Jenderal Partai Demokrasi Indonesia Perjuangan (PDIP) Hasto Kristiyanto sebagai saksi pada hari ini, Senin, 10 Juni 2024 terkait kasus dugaan suap yang melibatkan Harun Masiku. “Yang bersangkutan (Hasto) dipanggil sebagai saksi untuk hadir di Gedung Merah Putih KPK pada Senin, 10 Juni 2024 pukul 10.00 WIB,” kata Juru Bicara KPK Ali Fikri dalam keterangan resmi, Kamis, 6 Juni 2024. Ahmad Luthfi Menjelang Pilkada Jateng: Tim Pemenangan dan Persaingan Sengit Merespons panggilan KPK itu, Hasto memastikan akan hadir memenuhi panggilan penyidik KPK. ""Kualat saya kalau gak datang. Apalagi KPK didirikan sama Ibu Megawati Soekarnoputri, Ketua Umum PDIP,"" kata Hasto di Sekolah Partai PDIP, Kamis, 6 Juni 2024. Hasto merupakan saksi keempat yang akan diperiksa setelah kasus ini kembali “hidup”. Sebelumnya, KPK telah memeriksa Simeon Petrus, seorang pengacara, dan dua mahasiswa bernama Hugo Ganda dan Melita De Grave. Muncul Gerakan Coblos Semua Paslon di Pilkada 2024, Pengamat Ungkap Penyebabnya “Betul, ada diperiksa satu pengacara, kemudian dua mahasiswa, itu ketiganya memang ada hubungan kekerabatan,” kata Ali. Ketiga orang ini disebut merupakan kerabat Harun Masiku. Mereka diperiksa terkait dugaan terlibat menyembunyikan keberadaan Harun. Namun, Ali belum menjelaskan lebih lanjut soal temuan penyidik KPK dalam pemeriksaan tersebut. “Informasi yang didalami lebih jauh hampir semuanya sama, terkait informasi yang KPK terima mengenai keberadaan Harun Masiku yang diduga ada pihak yang mengamankan,” ujar Ali saat dikonfirmasi di Jakarta, Rabu, 5 Juni 2024. Dilansir dari Tempo, Harun Masiku merupakan tersangka kasus penyuapan terhadap Komisioner Komisi Pemilihan Umum (KPU) 2017-2022, Wahyu Setiawan. Adapun tujuan penyuapan itu diduga agar Harun Masiku menjadi Anggota DPR dari Fraksi PDIP untuk menggantikan Nazarudin Kiemas yang meninggal pada Maret 2019. Wakil Ketua KPK Johanis Tanak tak menjawab alasan KPK belakangan gencar memeriksa saksi untuk mencari keberadaan Harun Masiku. Dia juga tak menjawab soal berapa banyak saksi yang telah diperiksa dalam perkara ini. Direktur Penyidikan KPK Asep Guntur juga enggan menanggapi pertanyaan Tempo. Menurut Asep, semua pertanyaan harus satu pintu diajukan kepada Juru Bicara KPK Ali Fikri. Saat dikonfirmasi, Ali hanya menjawab singkat. Dia menuturkan, alasan saksi baru diperiksa belakangan ini adalah karena ada perkembangan informasi yang diperoleh KPK. “Mengembangkan informasi terbaru yang diterima KPK,” tutur Ali lewat aplikasi perpesanan, seperti dikutip dari Tempo, Ahad, 9 Juni 2024. MUTIA YUANTISYA | DEFARA DHANYA PARAMITHA | BAGUS PRIBADI | SAVERO ARISTIA WIENANTO | AMELIA RAHIMA SARI | ANTARA ",KPK,Hasto,Hasto Kristiyanto,PDIP,Harun Masiku,tempo
Tim Hukum 01 dan 03 Jalin Komunikasi Demi Ungkap Dugaan Kecurangan Pemilu,"Selasa, 20 Feb 2024 21:36 WIB",https://news.detik.com/pemilu/d-7203335/tim-hukum-01-dan-03-jalin-komunikasi-demi-ungkap-dugaan-kecurangan-pemilu,"Ketua Tim Hukum Nasional Anies Baswedan-Muhaimin Iskandar (Cak Imin), Ari Yusuf Amir mengatakan pihaknya telah melakukan komunikasi dengan kubu tim hukum 03, Ganjar Pranowo dan Mahfud Md. Ia menyebut saat ini sudah ada sosok yang menjembatani komunikasi tim hukum 01 dan 03. ""Nah ini salah satu lawyernya 03, Bu Seli ini adalah tim hukum di 03, beliau adalah LO-nya (liaison officer) yang mengkomunikasikan kita dengan Tim hukum 03,"" ujar Ari di Yusuf Building Law Firm, Jakarta Selatan, Selasa (20/2/2024). Ari menyebut temuan yang disampaikan kubu 01 akan diinformasikan melalui tim perantara. Kedua pihak bertekad untuk menghadirkan pemilu yang jujur dan adil.   ""Kami akan mengungkap fakta kecurangan ini dan sama-sama niat yang sama adalah supaya pemilu ini berintegritas dan menghasilkan pemilu yang jujur,"" ujar Ari. ""Mereka menemukan fakta yang sama misalnya mengenai kepala desa, mereka juga menemukan fakta itu. Ada intimidasi ke kepala desa. Mereka banyak dapat di Jawa Tengah, intimidasi kepala desa. Lalu, pencoblosan di 02, mereka juga banyak dapatkan (buktinya),"" sambungnya. Ia menyebut komunikasi antara tim hukum 01 dan 03 sudah terjalin. Timnya juga bersiap menghadapi sengketa pemilu di Mahkamah Konstitusi (MK) nantinya. ""Sudah berjalan, lama. Kami sudah punya ratusan laporan dari seluruh daerah. Dan akan terus berlanjut laporan-laporan kita itu,"" ujar Ari. ""Kan ada batas waktunya nanti. Jadi, setelah diumumkan (KPU) kan sudah selesai yang di Bawaslu. Kalau sudah selesai kita akan masuk ke tahap selanjutnya ke MK,"" pungkasnya.",anies cak imin,timnas amin,tpn ganjar-mahfud,pemilu 2024,pilpres 2024,detik
